Run_ID,Scheduler,Kernel,Avg_Latency_us,Max_Latency_us,Context_Switches,CPU_Migrations
1,CFS,6.5.0-060500-generic,10,43,25256,4
2,CFS,6.5.0-060500-generic,10,90,26705,4
3,CFS,6.5.0-060500-generic,10,22,26705,4
4,CFS,6.5.0-060500-generic,10,28,26684,4
5,CFS,6.5.0-060500-generic,10,316,26681,4
6,CFS,6.5.0-060500-generic,10,323,26690,4
7,CFS,6.5.0-060500-generic,10,371,26694,4
8,CFS,6.5.0-060500-generic,10,57,26680,4
9,CFS,6.5.0-060500-generic,10,116,26681,4
10,CFS,6.5.0-060500-generic,10,18,26712,4
11,CFS,6.5.0-060500-generic,10,17,26709,4
12,CFS,6.5.0-060500-generic,10,111,26701,4
13,CFS,6.5.0-060500-generic,10,17,26704,4
14,CFS,6.5.0-060500-generic,10,74,26708,4
15,CFS,6.5.0-060500-generic,10,46,26702,4
16,CFS,6.5.0-060500-generic,10,18,26698,4
17,CFS,6.5.0-060500-generic,10,119,26688,4
18,CFS,6.5.0-060500-generic,10,31,26688,4
19,CFS,6.5.0-060500-generic,10,160,26702,4
20,CFS,6.5.0-060500-generic,10,43,26703,4
21,CFS,6.5.0-060500-generic,10,241,26707,4
22,CFS,6.5.0-060500-generic,10,90,26706,4
23,CFS,6.5.0-060500-generic,10,409,26685,4
24,CFS,6.5.0-060500-generic,10,424,26677,4
25,CFS,6.5.0-060500-generic,10,17,26686,4
26,CFS,6.5.0-060500-generic,10,73,26686,4
27,CFS,6.5.0-060500-generic,10,215,26686,4
28,CFS,6.5.0-060500-generic,10,301,26701,4
29,CFS,6.5.0-060500-generic,10,271,26699,4
30,CFS,6.5.0-060500-generic,10,93,26699,4
31,CFS,6.5.0-060500-generic,10,87,26685,4
32,CFS,6.5.0-060500-generic,10,527,26681,4
33,CFS,6.5.0-060500-generic,10,26,26712,4
34,CFS,6.5.0-060500-generic,10,42,26700,4
35,CFS,6.5.0-060500-generic,10,472,26722,4
36,CFS,6.5.0-060500-generic,10,48,26689,4
37,CFS,6.5.0-060500-generic,10,111,26687,4
38,CFS,6.5.0-060500-generic,10,473,26701,4
39,CFS,6.5.0-060500-generic,10,449,26513,4
40,CFS,6.5.0-060500-generic,10,340,26716,4
41,CFS,6.5.0-060500-generic,10,137,26687,4
42,CFS,6.5.0-060500-generic,10,92,26700,4
43,CFS,6.5.0-060500-generic,10,398,26700,4
44,CFS,6.5.0-060500-generic,10,18,26706,4
45,CFS,6.5.0-060500-generic,10,34,26721,4
46,CFS,6.5.0-060500-generic,10,19,26580,4
47,CFS,6.5.0-060500-generic,10,111,26706,4
48,CFS,6.5.0-060500-generic,10,19,26687,4
49,CFS,6.5.0-060500-generic,10,128,26605,4
50,CFS,6.5.0-060500-generic,10,248,26702,4
